Clase,NombreImagen,MomentosHu,MomentosZernike
circle,3478.png,"[ 1.59237607e-01  7.79771897e-06  3.85442330e-07  2.27347336e-10
 -1.16620493e-18 -5.44592034e-13  1.78023720e-18]","[0.31830989 0.02038138 0.33688615 0.30883468 0.0014525  0.02711773
 0.33355249 0.32308947 0.30497374 0.01710084 0.0026971  0.03214866
 0.32936416 0.32867806 0.315254   0.30285229 0.01208408 0.02618638
 0.00257993 0.03662756 0.33229906 0.32553808 0.32372088 0.30992882
 0.3014484 ]"
circle,2158.png,"[ 1.59414818e-01  7.11145171e-05  2.52025573e-07  1.76537119e-10
 -1.62409722e-19 -1.79761404e-14 -1.16628810e-18]","[0.31830989 0.02686145 0.33943667 0.30755927 0.00760091 0.03332147
 0.33321368 0.32543916 0.3027927  0.01518829 0.01349624 0.03728476
 0.33019998 0.32933896 0.31700807 0.30001732 0.00487978 0.02535845
 0.01488521 0.0404626  0.33085208 0.32806345 0.32391573 0.31128276
 0.29809326]"
circle,2992.png,"[ 1.59250238e-01  1.21619423e-05  1.00231784e-06  4.84515622e-10
  3.59860797e-18  1.42687454e-12 -1.00526768e-17]","[0.31830989 0.02199513 0.33606756 0.30924398 0.00779184 0.02676459
 0.33021991 0.32463008 0.30509947 0.01150688 0.01311959 0.02949826
 0.32776226 0.32746282 0.31749846 0.30262416 0.00312492 0.01949168
 0.0146939  0.03160298 0.3258606  0.32810966 0.322096   0.31282003
 0.30083   ]"
circle,1766.png,"[ 1.59203305e-01  1.85309968e-06  4.77857733e-07  3.25748117e-11
  1.25448977e-19 -9.45546839e-15 -2.79294793e-20]","[0.31830989 0.02610339 0.33598492 0.30928523 0.00504586 0.03320905
 0.3313601  0.32380051 0.3053586  0.01663685 0.0098204  0.03790844
 0.32777377 0.32806851 0.31640082 0.30310941 0.00820672 0.02719096
 0.01039093 0.04184263 0.33011949 0.32517897 0.32373856 0.31123287
 0.30157385]"
circle,3127.png,"[ 1.59265897e-01  2.31153712e-05  1.09030081e-06  2.54406606e-10
 -1.17003521e-18 -7.43580515e-14  4.07231979e-18]","[0.31830989 0.0204205  0.33743625 0.30855957 0.01256807 0.02306817
 0.33069362 0.32545348 0.30403887 0.00503928 0.0205442  0.02358751
 0.33021601 0.32669434 0.31843002 0.30123324 0.00915152 0.01087929
 0.02454384 0.02346213 0.32617417 0.32978543 0.32083462 0.31394987
 0.29912694]"
circle,3578.png,"[1.59975468e-01 2.49601969e-04 8.56406800e-07 2.06863505e-09
 7.00005683e-17 2.44541199e-11 5.17784899e-17]","[0.31830989 0.01714178 0.34374127 0.30540703 0.02082965 0.01593526
 0.33556414 0.32745658 0.29960037 0.00653434 0.03240399 0.01268068
 0.33549697 0.32924224 0.3184104  0.29606409 0.02427997 0.00469097
 0.03998001 0.00889464 0.33270619 0.33194508 0.32247295 0.3125118
 0.2935002 ]"
circle,385.png,"[ 1.60304817e-01  3.52436262e-04  4.94256104e-07  2.09988957e-09
  6.72801102e-17  3.84354826e-11 -7.06897970e-18]","[0.31830989 0.02907295 0.33610928 0.30922346 0.00694093 0.03651249
 0.33061969 0.32439887 0.3051325  0.01584356 0.01362135 0.04109935
 0.32708396 0.32822937 0.31694366 0.30275635 0.00701449 0.02754538
 0.01517489 0.04479004 0.32863788 0.325782   0.32384319 0.31173666
 0.30111549]"
circle,1532.png,"[1.59297263e-01 3.37875882e-05 1.13191858e-07 1.59443538e-10
 6.14507828e-19 4.74831865e-13 2.84944523e-19]","[0.31830989 0.01626701 0.33747288 0.30854146 0.0145459  0.01687771
 0.33101857 0.32526752 0.30406342 0.00316361 0.02363314 0.01556552
 0.33098432 0.32632896 0.31837531 0.30127215 0.01514652 0.00348221
 0.0291364  0.01369225 0.32738458 0.32932442 0.32065171 0.31394947
 0.29917245]"
circle,2367.png,"[ 1.59507493e-01  1.01157079e-04  5.37321647e-07  5.74430543e-10
  4.31444937e-18  2.47574508e-12 -9.12316908e-18]","[0.31830989 0.02546125 0.33975642 0.30739942 0.00840492 0.03117301
 0.33390442 0.3252451  0.30264154 0.01367081 0.01435883 0.03452925
 0.33117018 0.32920057 0.31680386 0.29987521 0.00351226 0.02314555
 0.01595396 0.0371579  0.32995887 0.32966848 0.32287806 0.31132804
 0.29792805]"
circle,1998.png,"[ 1.59276129e-01  2.48822322e-05  3.07775321e-07  2.38870949e-10
 -1.79288876e-18 -7.32181572e-13 -9.90187350e-19]","[0.31830989 0.01516178 0.338701   0.30792749 0.02276092 0.01265756
 0.33105671 0.32626477 0.30304752 0.00956685 0.03495932 0.0082851
 0.33135194 0.32679079 0.31902186 0.29998115 0.02818687 0.00859294
 0.04331047 0.00376206 0.3312207  0.32698898 0.32259046 0.31386982
 0.29773329]"
circle,1230.png,"[ 1.59780145e-01  1.82721511e-04  1.04020414e-06  1.99939426e-09
 -2.60451690e-17 -1.34416150e-11 -8.73826267e-17]","[0.31830989 0.0231154  0.33597291 0.30929094 0.01243195 0.02669779
 0.32995881 0.32472445 0.3051338  0.00753139 0.0203742  0.02796402
 0.32979007 0.32573334 0.31830413 0.30252888 0.00710996 0.01487065
 0.02395253 0.02852864 0.32551283 0.3291372  0.32007564 0.31426442
 0.30054122]"
circle,546.png,"[ 1.59256245e-01  1.45709285e-05  6.84134340e-09  1.08306898e-10
  2.72017262e-20 -3.37592791e-13 -8.91732381e-20]","[0.31830989 0.02219026 0.34049067 0.30703234 0.02136825 0.02249373
 0.33071031 0.32798527 0.30149864 0.0054201  0.03472421 0.02008036
 0.33107575 0.32783679 0.32009427 0.2979964  0.02347093 0.00362282
 0.04308409 0.01686146 0.32734936 0.33060701 0.32235832 0.31475115
 0.29539224]"
